Kathleen,Hudson,Male,1984-04-17,khudson@rhynyx.info,61854 Saint Paul Plaza,Los Altos,Oregon,12771-3586,Spain
Sharon,Palmer,Male,1977-08-20,spalmer@vipe.mil,56 Sheridan Crossing,San Rafael,Kansas,16576-4420,Solomon Islands
Dennis,Carroll,Male,1985-02-24,dcarroll@oozz.com,53 Esch Park,Sanger,Kentucky,23349,Argentina
Phyllis,Alvarez,Female,1977-08-17,palvarez@quatz.name,81 Rusk Trail,Oxnard,Indiana,31554,Germany
Karen,Harrison,Male,1975-12-28,kharrison@fanoodle.gov,418 Jenna Terrace,Mammoth Lakes,Alaska,33115-7548,Yemen
Charles,Andrews,Female,1981-06-30,candrews@fiveclub.com,37 Ramsey Crossing,San Francisco,Wisconsin,99246-4860,Madagascar
Edward,Frazier,Female,1977-03-13,efrazier@meetz.info,63886 Mosinee Pass,Huntington Beach,New Hampshire,54117,Oman
Debra,Morrison,Female,1990-02-13,dmorrison@digitube.edu,1 Michigan Junction,Montague,Washington,15044,Taiwan
Tina,Morgan,Female,1980-12-27,tmorgan@livepath.biz,827 Vera Court,Selma,Michigan,05348,Kiribati
Diana,Gardner,Male,1979-12-02,dgardner@flipbug.info,07232 Harbort Way,South Lake Tahoe,North Dakota,79304,French Southern Territories
Louise,Lewis,Male,1979-09-19,llewis@ailane.net,134 Kropf Point,Lakeport,North Carolina,64038,Italy
Lori,Roberts,Male,1984-10-03,lroberts@brightdog.com,1477 Hovde Avenue,Ferndale,Illinois,67831,Albania
Ashley,Fox,Male,1980-06-14,afox@leexo.name,07 Dorton Junction,Calistoga,Maine,42759-0232,Trinidad and Tobago
Alice,Watkins,Male,1988-01-22,awatkins@jabberstorm.gov,55 Morrow Street,Sonora,Kentucky,83070,Netherlands Antilles
Joshua,Rogers,Male,1981-10-11,jrogers@latz.com,53 Sheridan Court,Fairfield,Missouri,62940,Haiti
Ruby,Montgomery,Male,1975-04-24,rmontgomery@jabberstorm.net,3336 Manley Way,Hayward,Ohio,03611,Azerbaijan
Chris,Ramos,Male,1985-01-09,cramos@blognation.biz,87858 Dawn Street,La Cañada Flintridge,Washington,87096-0682,Marshall Islands
Joe,Hunt,Male,1982-01-29,jhunt@dazzlesphere.info,6 Summer Ridge Alley,Camarillo,North Dakota,49647-4748,Belgium
Douglas,Bailey,Female,1987-03-24,dbailey@browsecat.com,00973 Victoria Parkway,Stanton,Montana,65504,Mayotte
Peter,Cole,Male,1989-01-28,pcole@skipfire.name,871 Stang Place,South Pasadena,Utah,80297,Zimbabwe
Pamela,Berry,Male,1987-08-06,pberry@linkbuzz.gov,4340 Morrow Center,Placerville,Idaho,79839-7032,Svalbard and Jan Mayen Islands
Henry,Bishop,Male,1983-10-30,hbishop@trudeo.biz,456 Bluejay Hill,West Sacramento,New York,63966-2323,Antigua and Barbuda
Joan,Ross,Male,1975-07-08,jross@blogtags.org,00 Swallow Lane,City of Commerce,Wyoming,67735-5719,Estonia
Jane,Stewart,Female,1986-07-04,jstewart@jaloo.mil,384 Mayer Pass,Garden Grove,Minnesota,60923,Luxembourg
Norma,Coleman,Male,1990-01-31,ncoleman@jamia.net,757 Morrow Street,Pomona,Hawaii,30369,Mauritius
Doris,Hughes,Male,1984-06-23,dhughes@avaveo.info,4602 Paget Hill,Soledad,New Jersey,16266,Armenia
Ernest,Chavez,Male,1982-06-24,echavez@youspan.edu,0913 Ludington Drive,Cudahy,Massachusetts,28963,Slovakia
Beverly,Young,Male,1990-12-11,byoung@fivechat.org,68 Susan Park,Grand Terrace,Kansas,22805,Dominica
Elizabeth,Edwards,Female,1975-03-07,eedwards@agivu.org,46814 Saint Paul Trail,Stockton,Vermont,87239,British Indian Ocean Territory
Jane,Ortiz,Male,1980-09-04,jortiz@twimbo.mil,096 Saint Paul Circle,Fountain Valley,Montana,83309-1554,Jersey
Nicole,Simpson,Female,1976-08-04,nsimpson@mita.gov,4 Glendale Pass,Temple City,Wisconsin,87630-9566,Uruguay
Michael,Jenkins,Male,1985-12-09,mjenkins@ozu.org,2409 Northview Place,Arroyo Grande,Utah,40260-2629,Pitcairn Island
Wayne,Hamilton,Female,1988-06-25,whamilton@tagtune.biz,58 Lyons Crossing,Lakewood,New Mexico,74402,United States of America
Laura,Grant,Male,1982-06-04,lgrant@quatz.org,75293 Hansons Way,Simi Valley,Louisiana,32925,Guinea-Bissau
Pamela,Fox,Male,1987-05-20,pfox@tagcat.name,426 Grasskamp Way,Tiburon,North Carolina,56187,Saint Martin
Gregory,Turner,Male,1986-12-01,gturner@eadel.biz,08317 Gerald Street,Desert Hot Springs,Louisiana,97421,Tuvalu
Helen,Cunningham,Female,1981-06-29,hcunningham@lazzy.mil,8 1st Place,Yucca Valley,Colorado,82406,Bangladesh
Ruth,Vasquez,Male,1985-11-13,rvasquez@einti.edu,41189 Dwight Alley,Oceanside,Louisiana,34060,Bouvet Island
Aaron,James,Female,1977-07-19,ajames@brainbox.com,1 Mariners Cove Avenue,Indian Wells,New Jersey,24762-0781,Benin
Brian,Romero,Female,1978-01-26,bromero@bubblebox.name,39 Prentice Street,Portola Valley,Georgia,12551,Honduras
Wayne,Matthews,Male,1983-10-04,wmatthews@shufflebeat.com,098 West Drive,Escalon,Missouri,12458,French Guiana
Beverly,Lopez,Female,1979-02-20,blopez@skipfire.gov,267 Manufacturers Street,Guadalupe,Mississippi,98038-9265,Burkina Faso
Kelly,Harper,Female,1986-12-24,kharper@voonix.mil,91392 Laurel Court,Novato,Alabama,22091,Mauritania
Johnny,Harrison,Female,1985-02-06,jharrison@kwimbee.net,34088 Huxley Parkway,Monterey Park,Montana,07392,Uganda
Debra,Perry,Male,1988-08-27,dperry@kazio.biz,25704 South Hill,Baldwin Park,Kansas,22496-1856,Kenya
Cheryl,Walker,Male,1990-06-17,cwalker@twinder.org,381 Roth Court,Tehama,Pennsylvania,37873,Nigeria
Jason,Banks,Female,1982-02-07,jbanks@blogxs.name,27463 Westend Park,National City,Rhode Island,25722-0012,Jamaica
Jeremy,Spencer,Male,1984-02-10,jspencer@innojam.biz,8499 Thackeray Hill,Highland,California,41508-3536,Spain
Joan,Armstrong,Male,1975-08-30,jarmstrong@lazzy.info,086 Glacier Hill Park,Montague,Nevada,78439-8849,China
Jack,Wallace,Male,1987-01-16,jwallace@wordtune.name,0 Arizona Parkway,Arcadia,Washington,26337-8027,Afghanistan
Elizabeth,Phillips,Male,1980-01-27,ephillips@thoughtmix.info,86082 Dovetail Parkway,Beaumont,Arkansas,03262,"Palestinian Territory, Occupied"
Jennifer,Ruiz,Female,1979-10-14,jruiz@brightbean.gov,189 Duke Trail,Santa Fe Springs,North Carolina,67278-3769,British Virgin Islands
Betty,Sanders,Male,1982-01-08,bsanders@skinix.mil,27 Bay Crossing,Porterville,New Jersey,43064,Vanuatu
Stephanie,Palmer,Male,1984-07-09,spalmer@eare.biz,74142 Graedel Court,Walnut,Wisconsin,72316,Iraq
Joyce,Black,Male,1981-09-11,jblack@kayveo.edu,1 Fairfield Center,Brea,Louisiana,17987-7309,Guyana
Laura,Medina,Male,1981-03-25,lmedina@zoonoodle.mil,95784 Algoma Pass,Hidden Hills,California,41195,Nigeria
Janice,George,Male,1977-04-21,jgeorge@topicshots.mil,825 Surrey Way,Monterey Park,Ohio,45438,Saint Vincent and the Grenadines
Virginia,Vasquez,Female,1984-08-06,vvasquez@youspan.edu,57 Stang Hill,Riverbank,New Hampshire,58476,Micronesia
